age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28, Self-emp-not-inc,15, Married-civ-spouse, Adm-clerical, Husband, Black, Female,10,131,14, China, <=50K
29, Private,11, Never-married, Sales, Own-child, White, Male,894,195,28, Thailand, <=50K
38, State-gov,10, Married-civ-spouse, ?, Other-relative, Other, Male,8787,988,34, Iran, <=50K
35, Private,5, Never-married, Farming-fishing, Not-in-family, White, Male,27817,636,84, Ireland, >50K
28, Private,15, Married-civ-spouse, Prof-specialty, Husband, White, Female,1,77,10, France, <=50K
43, Private,12, Married-AF-spouse, Prof-specialty, Husband, White, Female,5014,929,45, United-States, <=50K
35, Private,7, Never-married, Armed-Forces, Husband, Black, Male,26208,585,80, Italy, >50K
39, Private,12, Never-married, Other-service, Unmarried, Other, Male,685,750,64, Scotland, >50K
29, Without-pay,4, Married-civ-spouse, Exec-managerial, Own-child, White, Male,10652,274,76, Portugal, >50K
39, State-gov,11, Never-married, Protective-serv, Husband, Black, Male,15036,783,60, United-States, <=50K
21, Private,5, Never-married, ?, Not-in-family, White, Male,739,34,69, United-States, <=50K
39, Federal-gov,15, Married-civ-spouse, Protective-serv, Husband, White, Male,72,317,36, Columbia, >50K
42, Self-emp-inc,6, Married-civ-spouse, Tech-support, Other-relative, Amer-Indian-Eskimo, Male,27481,932,64, India, <=50K
26, Self-emp-inc,15, Married-civ-spouse, Transport-moving, Husband, White, Male,18,122,14, United-States, <=50K
47, Local-gov,10, Married-civ-spouse, Armed-Forces, Not-in-family, Asian-Pac-Islander, Male,9117,1517,59, India, <=50K
38, Private,10, Married-spouse-absent, Machine-op-inspct, Not-in-family, Black, Male,18931,568,73, United-States, <=50K
36, Local-gov,10, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,5604,698,30, United-States, >50K
18, Private,13, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,5,9,8, United-States, >50K
42, ?,7, Separated, Farming-fishing, Own-child, Amer-Indian-Eskimo, Female,21708,937,58, Hong, >50K
19, Private,11, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,57,13,42, United-States, <=50K
43, Self-emp-not-inc,6, Married-AF-spouse, Exec-managerial, Wife, White, Female,33297,1035,68, Greece, >50K
35, Private,15, Married-civ-spouse, Other-service, Wife, White, Female,10,178,45, Iran, <=50K
24, Private,12, Married-civ-spouse, Farming-fishing, Husband, White, Female,43,190,21, United-States, <=50K
25, Private,12, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,277,87,28, Columbia, <=50K
17, Private,14, Divorced, Craft-repair, Own-child, White, Male,1,10,3, Columbia, <=50K
