workclass,education,marital-status,occupation,relationship,race,sex,native-country,output
Without-pay,9th,Married-spouse-absent,Handlers-cleaners,Other-relative,Black,Male,Italy,Fal
?,5th-6th,Never-married,?,Unmarried,White,Male,Taiwan,Fal
Self-emp-not-inc,9th,Married-civ-spouse,Other-service,Own-child,White,Female,Ecuador,Tru
Self-emp-not-inc,10th,Never-married,Sales,Wife,White,Male,Peru,Fal
Self-emp-not-inc,5th-6th,Never-married,Sales,Own-child,White,Male,Thailand,Fal
Private,10th,Widowed,Tech-support,Other-relative,Amer-Indian-Eskimo,Male,Portugal,Fal
?,7th-8th,Married-spouse-absent,Sales,Other-relative,White,Female,Honduras,Fal
Self-emp-not-inc,11th,Married-spouse-absent,Sales,Other-relative,White,Male,Canada,Fal
?,Doctorate,Married-civ-spouse,Sales,Unmarried,Asian-Pac-Islander,Female,China,Fal
Self-emp-not-inc,7th-8th,Married-AF-spouse,Sales,Own-child,White,Male,Ecuador,Fal
State-gov,11th,Widowed,?,Other-relative,White,Female,Yugoslavia,Tru
?,10th,Married-spouse-absent,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,England,Fal
?,10th,Married-spouse-absent,Exec-managerial,Own-child,White,Male,United-States,Fal
Self-emp-not-inc,10th,Married-AF-spouse,Farming-fishing,Own-child,White,Male,Trinadad&Tobago,Fal
?,Masters,Never-married,Protective-serv,Own-child,Other,Female,Italy,Tru
State-gov,7th-8th,Married-civ-spouse,Farming-fishing,Own-child,White,Female,Taiwan,Fal
Self-emp-inc,Assoc-voc,Never-married,Sales,Other-relative,White,Female,China,Tru
Self-emp-not-inc,11th,Married-AF-spouse,Armed-Forces,Wife,White,Male,England,Fal
Private,11th,Married-spouse-absent,Exec-managerial,Own-child,Other,Female,China,Tru
?,11th,Never-married,Sales,Own-child,White,Female,China,Fal
?,Doctorate,Never-married,Sales,Own-child,White,Male,Greece,Tru
?,5th-6th,Married-spouse-absent,Farming-fishing,Own-child,White,Male,El-Salvador,Tru
Self-emp-not-inc,9th,Married-AF-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,Yugoslavia,Fal
State-gov,10th,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,Hong,Fal
State-gov,12th,Divorced,Prof-specialty,Other-relative,White,Female,Trinadad&Tobago,Fal
Without-pay,9th,Married-civ-spouse,Sales,Own-child,White,Male,Jamaica,Fal
Federal-gov,Some-college,Separated,Exec-managerial,Own-child,Other,Female,England,Fal
?,10th,Married-spouse-absent,Machine-op-inspct,Other-relative,White,Female,El-Salvador,Fal
Federal-gov,11th,Married-spouse-absent,Sales,Own-child,White,Male,El-Salvador,Fal
Private,9th,Never-married,Sales,Other-relative,White,Female,El-Salvador,Fal
State-gov,10th,Never-married,Exec-managerial,Other-relative,White,Male,Hong,Fal
Self-emp-not-inc,9th,Married-spouse-absent,Prof-specialty,Wife,White,Female,Cambodia,Fal
Federal-gov,7th-8th,Married-AF-spouse,Other-service,Wife,White,Female,Hong,Fal
Without-pay,10th,Married-AF-spouse,?,Wife,White,Male,United-States,Fal
?,7th-8th,Married-spouse-absent,Craft-repair,Husband,White,Male,Greece,Fal
State-gov,7th-8th,Divorced,Farming-fishing,Husband,White,Male,Canada,Tru
Federal-gov,9th,Married-AF-spouse,?,Own-child,White,Male,Vietnam,Fal
Federal-gov,9th,Divorced,Prof-specialty,Own-child,White,Female,Scotland,Fal
Self-emp-not-inc,10th,Never-married,Transport-moving,Unmarried,Amer-Indian-Eskimo,Female,Haiti,Fal
Without-pay,Assoc-voc,Never-married,?,Wife,White,Male,Peru,Fal
State-gov,5th-6th,Married-spouse-absent,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,Jamaica,Fal
Self-emp-inc,Bachelors,Never-married,Sales,Other-relative,White,Male,Hong,Fal
Federal-gov,9th,Divorced,Sales,Other-relative,White,Male,South,Fal
State-gov,9th,Separated,Farming-fishing,Unmarried,White,Male,Cambodia,Tru
State-gov,7th-8th,Never-married,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,Hungary,Fal
Self-emp-inc,9th,Married-civ-spouse,Protective-serv,Own-child,White,Female,Peru,Fal
Federal-gov,Assoc-voc,Married-civ-spouse,Priv-house-serv,Own-child,White,Male,?,Fal
Local-gov,Assoc-voc,Married-civ-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Male,Columbia,Fal
Without-pay,Assoc-acdm,Never-married,?,Husband,White,Female,Laos,Tru
Never-worked,9th,Married-spouse-absent,Tech-support,Other-relative,White,Male,United-States,Fal
Federal-gov,Assoc-voc,Married-civ-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,El-Salvador,Tru
?,7th-8th,Married-spouse-absent,Prof-specialty,Own-child,White,Male,Japan,Tru
Self-emp-inc,Assoc-voc,Never-married,Exec-managerial,Other-relative,White,Male,Yugoslavia,Fal
Self-emp-not-inc,7th-8th,Widowed,Priv-house-serv,Unmarried,Other,Female,El-Salvador,Fal
Federal-gov,5th-6th,Married-civ-spouse,Craft-repair,Unmarried,White,Female,Hong,Fal
?,9th,Married-AF-spouse,Priv-house-serv,Own-child,White,Male,Peru,Fal
Self-emp-inc,10th,Widowed,Transport-moving,Own-child,White,Female,Peru,Tru
State-gov,9th,Married-civ-spouse,Tech-support,Own-child,White,Female,Dominican-Republic,Fal
Self-emp-inc,Assoc-voc,Separated,Adm-clerical,Own-child,Black,Male,Jamaica,Fal
Self-emp-inc,7th-8th,Never-married,Tech-support,Wife,White,Female,Hong,Fal
?,5th-6th,Never-married,Machine-op-inspct,Wife,Black,Male,Hong,Fal
?,Doctorate,Married-civ-spouse,Sales,Other-relative,Black,Male,Cambodia,Fal
?,9th,Married-civ-spouse,Protective-serv,Other-relative,White,Female,Mexico,Tru
Private,7th-8th,Married-spouse-absent,Sales,Own-child,White,Male,Portugal,Fal
Self-emp-not-inc,Bachelors,Married-spouse-absent,?,Own-child,Asian-Pac-Islander,Female,Puerto-Rico,Fal
Self-emp-not-inc,11th,Never-married,Other-service,Other-relative,Other,Male,Portugal,Tru
Without-pay,10th,Never-married,Prof-specialty,Not-in-family,White,Female,Yugoslavia,Fal
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,?,Other-relative,Black,Male,India,Fal
State-gov,11th,Married-AF-spouse,Handlers-cleaners,Own-child,White,Male,South,Fal
State-gov,9th,Never-married,Machine-op-inspct,Own-child,White,Male,China,Fal
Self-emp-not-inc,7th-8th,Never-married,Handlers-cleaners,Own-child,Other,Female,Cuba,Tru
Local-gov,Bachelors,Married-spouse-absent,Exec-managerial,Other-relative,White,Male,Hong,Fal
Without-pay,9th,Divorced,?,Other-relative,Other,Male,Mexico,Tru
Self-emp-inc,Doctorate,Married-civ-spouse,Priv-house-serv,Unmarried,White,Female,China,Tru
Private,5th-6th,Never-married,Other-service,Other-relative,White,Female,Iran,Fal
?,Bachelors,Married-civ-spouse,Prof-specialty,Own-child,White,Female,Hong,Fal
State-gov,11th,Married-AF-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Female,Iran,Fal
Never-worked,9th,Separated,Tech-support,Not-in-family,White,Male,England,Fal
State-gov,9th,Married-civ-spouse,Adm-clerical,Wife,White,Female,Yugoslavia,Fal
Self-emp-not-inc,1st-4th,Separated,Sales,Other-relative,White,Female,Outlying-US(Guam-USVI-etc),Fal
State-gov,Preschool,Divorced,Priv-house-serv,Husband,Black,Female,China,Fal
Federal-gov,7th-8th,Married-spouse-absent,Tech-support,Own-child,White,Female,Ecuador,Fal
Self-emp-inc,9th,Never-married,?,Own-child,White,Male,Hungary,Fal
?,9th,Married-civ-spouse,Sales,Unmarried,White,Male,Canada,Fal
Self-emp-inc,Preschool,Married-spouse-absent,Sales,Other-relative,White,Female,Cuba,Tru
?,10th,Married-AF-spouse,Handlers-cleaners,Own-child,White,Male,Vietnam,Fal
Self-emp-inc,7th-8th,Never-married,Sales,Own-child,White,Female,China,Fal
State-gov,11th,Never-married,Armed-Forces,Other-relative,White,Female,Honduras,Fal
Self-emp-not-inc,Doctorate,Married-civ-spouse,Handlers-cleaners,Other-relative,Other,Male,Greece,Fal
State-gov,10th,Married-AF-spouse,Tech-support,Other-relative,White,Male,Peru,Fal
State-gov,12th,Married-civ-spouse,Craft-repair,Own-child,Black,Female,Iran,Fal
Local-gov,9th,Separated,Handlers-cleaners,Own-child,Other,Female,Hungary,Fal
Self-emp-not-inc,10th,Married-AF-spouse,Transport-moving,Own-child,Other,Male,China,Fal
Federal-gov,9th,Never-married,Tech-support,Not-in-family,Other,Female,Trinadad&Tobago,Tru
Without-pay,9th,Never-married,Exec-managerial,Own-child,White,Male,Iran,Fal
Never-worked,Masters,Never-married,Other-service,Own-child,White,Male,England,Fal
?,9th,Never-married,Sales,Other-relative,White,Female,El-Salvador,Fal
State-gov,9th,Never-married,Handlers-cleaners,Not-in-family,Black,Male,Canada,Fal
?,9th,Married-AF-spouse,Protective-serv,Own-child,Asian-Pac-Islander,Female,Outlying-US(Guam-USVI-etc),Fal
Self-emp-not-inc,11th,Married-spouse-absent,Other-service,Other-relative,White,Female,Laos,Tru
State-gov,5th-6th,Widowed,Exec-managerial,Own-child,White,Male,India,Fal
State-gov,11th,Married-civ-spouse,Prof-specialty,Own-child,White,Female,Haiti,Fal
Never-worked,10th,Married-AF-spouse,Farming-fishing,Other-relative,Other,Male,England,Tru
Local-gov,9th,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,Portugal,Fal
State-gov,5th-6th,Widowed,?,Not-in-family,White,Male,United-States,Fal
?,9th,Never-married,Other-service,Other-relative,White,Female,England,Fal
Self-emp-inc,Bachelors,Never-married,?,Own-child,Amer-Indian-Eskimo,Male,England,Fal
Self-emp-not-inc,9th,Divorced,Handlers-cleaners,Other-relative,Other,Male,United-States,Fal
State-gov,11th,Married-spouse-absent,?,Own-child,White,Female,Outlying-US(Guam-USVI-etc),Fal
State-gov,9th,Married-civ-spouse,Sales,Other-relative,White,Male,Mexico,Fal
State-gov,9th,Separated,?,Other-relative,White,Female,Outlying-US(Guam-USVI-etc),Fal
Local-gov,5th-6th,Divorced,Handlers-cleaners,Other-relative,White,Male,Ecuador,Fal
Never-worked,Preschool,Never-married,Priv-house-serv,Other-relative,White,Male,Hong,Fal
Local-gov,10th,Never-married,Prof-specialty,Unmarried,White,Male,Ecuador,Tru
Without-pay,1st-4th,Never-married,Other-service,Own-child,White,Male,El-Salvador,Tru
Without-pay,Doctorate,Married-spouse-absent,Other-service,Other-relative,White,Female,Yugoslavia,Fal
?,11th,Married-spouse-absent,Sales,Other-relative,White,Male,Iran,Fal
Self-emp-not-inc,Assoc-voc,Never-married,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,Cambodia,Fal
Never-worked,10th,Divorced,Priv-house-serv,Other-relative,White,Male,England,Fal
Self-emp-inc,Preschool,Never-married,Sales,Own-child,White,Male,United-States,Fal
?,9th,Married-AF-spouse,Other-service,Own-child,Asian-Pac-Islander,Female,El-Salvador,Tru
Self-emp-inc,11th,Married-civ-spouse,Tech-support,Own-child,White,Female,Trinadad&Tobago,Fal
Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Own-child,White,Female,Mexico,Fal
Without-pay,9th,Married-civ-spouse,Protective-serv,Not-in-family,White,Female,United-States,Fal
Private,11th,Married-civ-spouse,?,Unmarried,Amer-Indian-Eskimo,Female,Iran,Fal
?,Doctorate,Married-spouse-absent,Protective-serv,Unmarried,Other,Female,Greece,Fal
State-gov,7th-8th,Married-civ-spouse,Sales,Own-child,White,Female,Ecuador,Fal
