age,workclass,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
23.19,Self-emp-not-inc,Dropout,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,27.61,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
50.39,Self-emp-not-inc,Associates,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,51.27,United-States,-1.0
23.19,Private,Dropout,Never-married,Adm-clerical,Husband,White,Female,Low,Low,49.95,United-States,-1.0
50.31,Private,Dropout,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,27.81,United-States,-1.0
23.7,Private,Associates,Divorced,Adm-clerical,Not-in-family,White,Male,Low,Low,43.72,United-States,-1.0
43.68,Private,Associates,Divorced,Adm-clerical,Not-in-family,White,Male,Low,Low,28.23,United-States,-1.0
23.19,Private,Dropout,Never-married,Craft-repair,Husband,White,Male,Low,Low,51.26,United-States,-1.0
33.67,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,56.41,United-States,1.0
23.2,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
51.16,Self-emp-inc,Associates,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,56.41,United-States,1.0
49.94,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.11,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Dropout,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.57,United-States,-1.0
23.63,Private,Dropout,Never-married,Other-service,Not-in-family,White,Male,Low,Low,27.51,United-States,-1.0
23.19,Private,HS-grad,Never-married,Sales,Unmarried,White,Male,Low,Low,28.33,United-States,-1.0
54.3,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,Low,Low,34.75,United-States,1.0
45.44,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,51.07,United-States,-1.0
49.82,Self-emp-not-inc,Associates,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,40.24,United-States,-1.0
50.39,Private,Associates,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,51.26,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,35.93,United-States,-1.0
33.67,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,56.34,United-States,1.0
54.3,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,56.41,United-States,1.0
23.19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
50.39,Private,Dropout,Married-civ-spouse,Adm-clerical,Husband,White,Female,Low,Low,27.48,United-States,-1.0
54.3,Private,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,Low,Low,56.41,United-States,1.0
23.19,Private,Associates,Never-married,Prof-specialty,Not-in-family,White,Male,Low,Low,51.26,United-States,-1.0
23.22,Private,Dropout,Never-married,Craft-repair,Husband,White,Male,Low,Low,51.24,United-States,-1.0
34.69,Private,Dropout,Divorced,Sales,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
50.39,Self-emp-not-inc,Dropout,Divorced,Adm-clerical,Not-in-family,White,Male,Low,Low,51.24,United-States,-1.0
54.3,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,Low,Low,56.34,United-States,1.0
53.5,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,34.75,United-States,1.0
23.19,Private,Associates,Never-married,Adm-clerical,Own-child,White,Male,Low,Low,48.2,United-States,-1.0
23.31,Private,Associates,Divorced,Other-service,Unmarried,White,Female,Low,Low,37.9,United-States,-1.0
23.25,Private,Some-college,Never-married,Adm-clerical,Husband,White,Female,Low,Low,27.48,United-States,-1.0
50.34,Private,Dropout,Married-civ-spouse,Craft-repair,Unmarried,White,Male,Low,Low,27.48,United-States,-1.0
54.3,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.75,United-States,1.0
49.63,Private,Associates,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,51.05,United-States,-1.0
54.3,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,56.41,United-States,1.0
27.03,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.21,United-States,-1.0
29.46,Private,Associates,Never-married,Craft-repair,Unmarried,White,Female,Low,Low,27.48,United-States,-1.0
29.46,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
23.19,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
50.39,Self-emp-not-inc,Associates,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
46.01,Self-emp-not-inc,Dropout,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
50.39,Private,Associates,Married-spouse-absent,Adm-clerical,Husband,White,Male,Low,Low,51.27,United-States,-1.0
51.93,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,56.41,United-States,1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,30.91,United-States,-1.0
33.67,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.75,United-States,1.0
54.3,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Female,Low,Low,56.41,United-States,1.0
23.19,Private,Dropout,Never-married,Adm-clerical,Husband,White,Female,Low,Low,33.85,United-States,-1.0
33.67,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Female,Low,Low,54.12,United-States,1.0
24.36,Private,Associates,Divorced,Sales,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
54.3,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,Low,Low,56.41,United-States,1.0
50.09,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,34.18,United-States,-1.0
50.39,Private,Associates,Married-civ-spouse,Craft-repair,Unmarried,White,Male,Low,Low,46.58,United-States,-1.0
23.19,Private,Dropout,Never-married,Transport-moving,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
