age,workclass,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
39.59,Private,Dropout,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,51.27,United-States,-1.0
23.24,Private,Dropout,Never-married,Adm-clerical,Unmarried,White,Male,Low,Low,51.19,United-States,-1.0
54.3,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Female,Low,Low,56.36,United-States,1.0
50.39,Self-emp-not-inc,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.26,United-States,-1.0
54.3,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.75,United-States,1.0
54.3,Private,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,Low,Low,56.41,United-States,1.0
50.39,Private,Associates,Married-civ-spouse,Adm-clerical,Husband,White,Female,Low,Low,51.21,United-States,-1.0
23.6,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,51.2,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,51.26,United-States,-1.0
54.3,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,56.41,United-States,1.0
23.19,Private,Dropout,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
50.39,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
50.39,Private,Dropout,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,51.27,United-States,-1.0
50.39,Private,Associates,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,Low,Low,35.4,United-States,-1.0
46.32,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,28.73,United-States,-1.0
50.39,Private,Dropout,Never-married,Other-service,Unmarried,White,Female,Low,Low,51.26,United-States,-1.0
29.32,Private,Associates,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,27.62,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
33.67,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,34.75,United-States,1.0
23.2,Self-emp-not-inc,Dropout,Never-married,Adm-clerical,Husband,White,Male,Low,Low,27.48,United-States,-1.0
23.19,Private,Dropout,Never-married,Craft-repair,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
23.39,Private,Dropout,Divorced,Craft-repair,Not-in-family,White,Female,Low,Low,28.82,United-States,-1.0
23.19,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
50.38,Private,Dropout,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.5,United-States,-1.0
33.67,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Male,Low,Low,34.75,United-States,1.0
33.67,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Male,Low,Low,34.75,United-States,1.0
24.47,Private,Associates,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,Low,Low,27.8,United-States,-1.0
23.36,Private,Associates,Married-civ-spouse,Adm-clerical,Husband,White,Female,Low,Low,27.68,United-States,-1.0
23.2,Private,Associates,Never-married,Other-service,Unmarried,White,Male,Low,Low,27.48,United-States,-1.0
23.78,Private,Dropout,Widowed,Adm-clerical,Not-in-family,White,Female,Low,Low,42.31,United-States,-1.0
50.36,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
23.25,Self-emp-not-inc,Dropout,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Associates,Married-civ-spouse,Adm-clerical,Husband,White,Female,Low,Low,27.48,United-States,-1.0
33.67,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Female,Low,Low,56.41,United-States,1.0
23.23,Private,Dropout,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
23.54,Private,Associates,Married-civ-spouse,Sales,Husband,White,Female,Low,Low,51.03,United-States,-1.0
23.19,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
50.39,Private,Associates,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
54.3,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.75,United-States,1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
50.39,Private,Dropout,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
25.78,Private,Associates,Never-married,Adm-clerical,Own-child,White,Male,Low,Low,27.48,United-States,-1.0
50.39,Self-emp-not-inc,Dropout,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
54.3,Private,HS-grad,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,Low,Low,56.41,United-States,1.0
23.19,Private,Dropout,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,27.5,United-States,-1.0
