age,workclass,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
35.11,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Male,Low,Low,34.75,United-States,1.0
28.31,Private,Dropout,Never-married,Adm-clerical,Husband,White,Male,Low,Low,27.49,United-States,-1.0
33.67,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,Low,Low,34.75,United-States,1.0
50.39,Private,Associates,Divorced,Adm-clerical,Unmarried,White,Female,Low,Low,51.27,United-States,-1.0
33.67,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.75,United-States,1.0
33.67,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,Low,Low,34.75,United-States,1.0
54.29,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,39.4,United-States,1.0
50.28,Private,Associates,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
50.39,Self-emp-not-inc,Associates,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,Low,Low,48.89,United-States,-1.0
33.43,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,27.48,United-States,-1.0
50.39,Private,Associates,Divorced,Other-service,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Dropout,Never-married,Other-service,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
54.05,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Female,Low,Low,56.41,United-States,1.0
50.39,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
50.39,Self-emp-not-inc,Associates,Never-married,Craft-repair,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
50.39,Private,Associates,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
23.31,Private,Associates,Divorced,Craft-repair,Unmarried,White,Male,Low,Low,50.92,United-States,-1.0
33.67,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Female,Low,Low,34.75,United-States,1.0
33.67,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.89,United-States,1.0
50.39,Private,Associates,Never-married,Other-service,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
33.78,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Male,Low,Low,56.41,United-States,1.0
33.67,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Female,Low,Low,56.41,United-States,1.0
30.32,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,51.27,United-States,-1.0
23.2,Private,Associates,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
33.67,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,34.75,United-States,1.0
25.39,Self-emp-not-inc,Dropout,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
50.06,Private,Dropout,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,51.25,United-States,-1.0
23.19,Private,Associates,Never-married,Sales,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
50.39,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,51.26,United-States,-1.0
23.19,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
54.3,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,34.75,United-States,1.0
50.39,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
50.39,Private,Dropout,Married-civ-spouse,Sales,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
54.3,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,56.41,United-States,1.0
50.39,Private,Dropout,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,Low,Low,48.15,United-States,-1.0
50.39,Private,Dropout,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Dropout,Never-married,Craft-repair,Not-in-family,White,Female,Low,Low,27.82,United-States,-1.0
33.67,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Female,Low,Low,34.75,United-States,1.0
33.67,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,56.41,United-States,1.0
23.27,Private,Associates,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,28.79,United-States,-1.0
23.45,Private,Associates,Never-married,Craft-repair,Husband,White,Female,Low,Low,51.27,United-States,-1.0
50.19,Private,Associates,Divorced,Other-service,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
54.3,Private,Bachelors,Married-civ-spouse,Sales,Not-in-family,White,Male,Low,Low,34.75,United-States,1.0
33.77,Private,Associates,Divorced,Adm-clerical,Husband,White,Male,Low,Low,27.57,United-States,-1.0
23.28,Private,Associates,Never-married,Other-service,Not-in-family,White,Male,Low,Low,27.5,United-States,-1.0
24.03,Private,Dropout,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,29.26,United-States,-1.0
50.39,Private,Dropout,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
50.39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,49.94,United-States,-1.0
54.3,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,36.56,United-States,1.0
54.3,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,56.41,United-States,1.0
30.24,Private,Dropout,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,Low,Low,27.5,United-States,-1.0
23.2,Private,Associates,Widowed,Adm-clerical,Own-child,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Associates,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,27.7,United-States,-1.0
23.19,Private,Dropout,Never-married,Other-service,Husband,White,Male,Low,Low,51.12,United-States,-1.0
23.2,Self-emp-not-inc,Dropout,Divorced,Craft-repair,Not-in-family,White,Female,Low,Low,28.18,United-States,-1.0
