age,workclass,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
23.19,Private,Associates,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
23.19,Private,Dropout,Never-married,Other-service,Not-in-family,White,Female,Low,Low,27.48,United-States,-1.0
23.19,Private,Dropout,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,27.65,United-States,-1.0
50.39,Self-emp-not-inc,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,27.48,United-States,-1.0
54.3,Private,Bachelors,Married-civ-spouse,Sales,Not-in-family,White,Male,Low,Low,34.75,United-States,1.0
23.19,Private,Associates,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,51.27,United-States,-1.0
50.39,Private,Dropout,Divorced,Other-service,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
49.35,Private,Dropout,Never-married,Other-service,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
23.19,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,Low,Low,51.27,United-States,-1.0
43.03,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.56,United-States,-1.0
54.3,State-gov,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,34.75,United-States,1.0
23.19,Self-emp-not-inc,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
54.3,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,56.41,United-States,1.0
50.39,Self-emp-not-inc,Dropout,Married-civ-spouse,Other-service,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
28.96,Private,Dropout,Married-AF-spouse,Craft-repair,Own-child,White,Male,Low,Low,51.27,United-States,-1.0
50.39,Private,Associates,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
23.19,Private,Dropout,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,51.27,United-States,-1.0
23.19,Private,Associates,Never-married,Adm-clerical,Husband,White,Male,Low,Low,27.48,United-States,-1.0
33.67,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,53.23,United-States,1.0
33.67,Federal-gov,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,34.75,United-States,1.0
26.05,Private,Associates,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,27.48,United-States,-1.0
23.19,Self-emp-not-inc,Associates,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,27.5,United-States,-1.0
50.38,Self-emp-not-inc,Associates,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,51.27,United-States,-1.0
50.39,Private,Associates,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,27.48,United-States,-1.0
50.39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,27.48,United-States,-1.0
33.67,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,Low,Low,34.75,United-States,1.0
37.18,Self-emp-not-inc,Dropout,Never-married,Adm-clerical,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
33.67,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Male,Low,Low,34.75,United-States,1.0
50.39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,Low,Low,51.27,United-States,-1.0
50.39,Self-emp-not-inc,Associates,Married-civ-spouse,Other-service,Husband,White,Male,Low,Low,27.48,United-States,-1.0
50.37,Private,Associates,Separated,Adm-clerical,Not-in-family,White,Male,Low,Low,50.76,United-States,-1.0
50.39,Private,Associates,Married-civ-spouse,Adm-clerical,Husband,White,Male,Low,Low,28.74,United-States,-1.0
23.2,Private,Dropout,Divorced,Adm-clerical,Not-in-family,White,Female,Low,Low,40.24,United-States,-1.0
23.19,Private,Dropout,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,27.48,United-States,-1.0
50.39,Private,Dropout,Married-civ-spouse,Craft-repair,Husband,White,Male,Low,Low,27.48,United-States,-1.0
23.52,Private,Associates,Never-married,Other-service,Own-child,White,Male,Low,Low,27.48,United-States,-1.0
